Notes,Region,Region Code,State,State Code,Year,Year Code,Month,Month Code,Avg Daily Max Air Temperature (F),Avg Daily Min Air Temperature (F),Avg Daily Max Heat Index (F)
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1989,1989,Oct,10,61.21,46.1,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1989,1989,Nov,11,46.62,34.25,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1989,1989,Dec,12,25.88,14.99,Missing
Total,Census Region 1: Northeast,CENS-R1,Connecticut,9,1989,1989,,,55.43,41.89,88.2
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1990,1990,Jan,1,38.81,29.28,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1990,1990,Feb,2,40.04,26.53,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1990,1990,Mar,3,46.88,32.44,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1990,1990,Apr,4,55.45,40.29,84.92
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1990,1990,May,5,61.61,45.48,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1990,1990,Jun,6,73.46,55.95,84.29
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1990,1990,Jul,7,77.64,63.33,87.57
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1990,1990,Aug,8,77.21,63.54,86.56
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1990,1990,Sep,9,69.92,54.76,85.6
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1990,1990,Oct,10,63.83,47.27,82.3
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1990,1990,Nov,11,50.38,36.47,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1990,1990,Dec,12,43.48,31.31,Missing
Total,Census Region 1: Northeast,CENS-R1,Connecticut,9,1990,1990,,,58.33,44,86.72
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1991,1991,Jan,1,34.13,24.26,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1991,1991,Feb,2,39.61,27.22,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1991,1991,Mar,3,46.27,33.47,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1991,1991,Apr,4,58.19,42.03,81.19
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1991,1991,May,5,70.93,52.07,85.57
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1991,1991,Jun,6,75.16,57.29,87.25
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1991,1991,Jul,7,79.37,62.46,90.57
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1991,1991,Aug,8,79.01,62.77,87.1
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1991,1991,Sep,9,68.92,54.46,91.18
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1991,1991,Oct,10,61.54,45.95,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1991,1991,Nov,11,49.05,37.73,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1991,1991,Dec,12,39.86,28.87,Missing
Total,Census Region 1: Northeast,CENS-R1,Connecticut,9,1991,1991,,,58.61,44.15,88
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1992,1992,Jan,1,34.62,23.81,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1992,1992,Feb,2,37.16,24.39,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1992,1992,Mar,3,41.02,29.04,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1992,1992,Apr,4,52.81,37.49,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1992,1992,May,5,63.39,45.34,81.58
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1992,1992,Jun,6,71.5,54.37,84.46
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1992,1992,Jul,7,75.5,60.02,84.9
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1992,1992,Aug,8,74.79,59.59,87.87
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1992,1992,Sep,9,68.97,53.92,83.84
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1992,1992,Oct,10,56.4,42.43,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1992,1992,Nov,11,46.87,36.43,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1992,1992,Dec,12,38.29,28.07,Missing
Total,Census Region 1: Northeast,CENS-R1,Connecticut,9,1992,1992,,,55.15,41.29,85.26
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1993,1993,Jan,1,35.82,26.48,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1993,1993,Feb,2,31.05,18.41,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1993,1993,Mar,3,39.44,27.93,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1993,1993,Apr,4,55.41,39.01,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1993,1993,May,5,66.74,48.87,82.64
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1993,1993,Jun,6,73.49,55.35,85.26
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1993,1993,Jul,7,80.01,62.68,88.95
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1993,1993,Aug,8,78.96,63.34,87.84
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1993,1993,Sep,9,70.45,54.92,87.87
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1993,1993,Oct,10,57.65,42.57,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1993,1993,Nov,11,49.88,35.31,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1993,1993,Dec,12,38.05,27.68,Missing
Total,Census Region 1: Northeast,CENS-R1,Connecticut,9,1993,1993,,,56.56,42.03,87.87
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1994,1994,Jan,1,27.75,14.67,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1994,1994,Feb,2,29.68,17.67,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1994,1994,Mar,3,42.08,29.63,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1994,1994,Apr,4,57.03,39.58,81.98
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1994,1994,May,5,62.84,44.22,82.29
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1994,1994,Jun,6,74.91,58.53,89.76
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1994,1994,Jul,7,81.71,67.44,89.4
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1994,1994,Aug,8,75.56,60.78,87.16
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1994,1994,Sep,9,69.14,53.53,85.31
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1994,1994,Oct,10,59.17,44.04,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1994,1994,Nov,11,52.27,37.42,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1994,1994,Dec,12,41.63,30.71,Missing
Total,Census Region 1: Northeast,CENS-R1,Connecticut,9,1994,1994,,,56.29,41.65,88.8
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1995,1995,Jan,1,37.91,29.45,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1995,1995,Feb,2,32.88,21.31,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1995,1995,Mar,3,45.61,32.96,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1995,1995,Apr,4,52.3,37.69,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1995,1995,May,5,62.67,46.43,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1995,1995,Jun,6,74.31,56.94,90.02
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1995,1995,Jul,7,80.84,64.7,89.78
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1995,1995,Aug,8,79.82,60.12,89.52
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1995,1995,Sep,9,70.16,51.86,83.19
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1995,1995,Oct,10,64.11,48.86,83.14
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1995,1995,Nov,11,45.5,33.81,Missing
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1995,1995,Dec,12,31.5,21.92,Missing
