Notes,Region,Region Code,State,State Code,Year,Year Code,Month,Month Code,Avg Daily Precipitation (mm)
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1990,1990,Jun,6,2
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1990,1990,Jul,7,2.75
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1990,1990,Aug,8,6.37
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1990,1990,Sep,9,1.99
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1990,1990,Oct,10,5.98
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1990,1990,Nov,11,2.57
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1990,1990,Dec,12,4.78
Total,Census Region 1: Northeast,CENS-R1,Connecticut,9,1990,1990,,,3.87
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1991,1991,Jan,1,2.42
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1991,1991,Feb,2,1.88
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1991,1991,Mar,3,4.42
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1991,1991,Apr,4,3.09
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1991,1991,May,5,3.57
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1991,1991,Jun,6,1.4
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1991,1991,Jul,7,2.71
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1991,1991,Aug,8,6.57
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1991,1991,Sep,9,4.82
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1991,1991,Oct,10,2.52
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1991,1991,Nov,11,3.59
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1991,1991,Dec,12,2.94
Total,Census Region 1: Northeast,CENS-R1,Connecticut,9,1991,1991,,,3.34
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1992,1992,Jan,1,2.31
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1992,1992,Feb,2,1.95
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1992,1992,Mar,3,3.55
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1992,1992,Apr,4,2.25
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1992,1992,May,5,1.93
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1992,1992,Jun,6,4.86
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1992,1992,Jul,7,3.99
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1992,1992,Aug,8,4.75
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1992,1992,Sep,9,3.09
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1992,1992,Oct,10,1.89
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1992,1992,Nov,11,5.07
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1992,1992,Dec,12,5.06
Total,Census Region 1: Northeast,CENS-R1,Connecticut,9,1992,1992,,,3.39
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1993,1993,Jan,1,2.31
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1993,1993,Feb,2,2.71
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1993,1993,Mar,3,5.32
,Census Region 1: Northeast,CENS-R1,Connecticut,9,1993,1993,Apr,4,4.09
