,FIPS,County,State,State Abbreviation,2010 Census,2011 Estimate,2012 Estimate,2013 Estimate,2014 Estimate,2015 Estimate,2016 Estimate,2017 Estimate
177,05133,sevier,arkansas,AR,17058,17175,17151,17322,17388,17250,16955,17115
178,05135,sharp,arkansas,AR,17264,17269,17031,17042,16817,16817,17138,17393
179,05137,stone,arkansas,AR,12394,12497,12541,12422,12378,12380,12500,12537
180,05139,union,arkansas,AR,41639,41387,40850,40593,40129,40073,39867,39449
181,05141,van buren,arkansas,AR,17295,17198,17147,16972,16887,16769,16622,16506
182,05143,washington,arkansas,AR,203065,207734,211222,215525,219442,223851,227600,231996
183,05145,white,arkansas,AR,77076,78005,78545,78471,78368,78835,78838,79016
184,05147,woodruff,arkansas,AR,7260,7176,7066,7031,6871,6718,6623,6571
185,05149,yell,arkansas,AR,22185,21924,21791,21779,21737,21482,21486,21523
186,06001,alameda,california,CA,1510271,1532215,1556648,1582936,1611572,1637141,1653236,1663190
187,06003,alpine,california,CA,1175,1093,1110,1127,1084,1088,1057,1120
188,06005,amador,california,CA,38091,37539,37112,36635,36748,37047,37473,38626
189,06007,butte,california,CA,220000,220003,220969,221768,223629,224818,226525,229294
190,06009,calaveras,california,CA,45578,45163,44826,44667,44677,44954,45315,45670
191,06011,colusa,california,CA,21419,21366,21350,21336,21268,21341,21645,21805
192,06013,contra costa,california,CA,1049025,1066182,1079093,1095310,1110971,1126027,1138645,1147439
193,06015,del norte,california,CA,28610,28447,28203,27830,27206,27253,27450,27470
194,06017,el dorado,california,CA,181058,180975,180680,181618,183333,184865,186272,188987
195,06019,fresno,california,CA,930450,940360,946851,953787,963170,972333,979534,989255
196,06021,glenn,california,CA,28122,28160,27894,27866,27909,27841,27967,28094
197,06023,humboldt,california,CA,134623,135239,134596,134444,134584,135219,136449,136754
198,06025,imperial,california,CA,174528,176157,177241,177267,178868,179839,180980,182830
199,06027,inyo,california,CA,18546,18401,18370,18377,18340,18197,18034,18026
200,06029,kern,california,CA,839631,848767,855237,864014,871895,879607,885086,893119
201,06031,kings,california,CA,152982,152030,151265,150675,149862,150482,149797,150101
202,06033,lake,california,CA,64665,64273,64005,63855,64113,64310,63950,64246
203,06035,lassen,california,CA,34895,34244,33632,32135,31716,31393,30944,31163
204,06037,los angeles,california,CA,9818605,9885998,9956152,10018604,10072695,10123248,10150558,10163507
205,06039,madera,california,CA,150865,151876,151900,151819,154103,154423,154966,156890
206,06041,marin,california,CA,252409,255505,256381,258856,261007,261718,261532,260955
207,06043,mariposa,california,CA,18251,18174,17893,17820,17730,17649,17524,17569
208,06045,mendocino,california,CA,87841,87367,87376,87164,87375,87318,87609,88018
209,06047,merced,california,CA,255793,259607,261407,262712,265281,267406,268878,272673
210,06049,modoc,california,CA,9686,9515,9359,9154,9083,9050,8941,8859
211,06051,mono,california,CA,14202,14329,14248,13997,14072,13954,14101,14168
212,06053,monterey,california,CA,415057,421162,426094,428382,430416,432774,436363,437907
213,06055,napa,california,CA,136484,137905,138876,139978,140918,141507,141649,140973
214,06057,nevada,california,CA,98764,98714,98173,97992,98614,98715,99053,99814
215,06059,orange,california,CA,3010232,3053465,3085386,3113649,3136750,3160576,3177703,3190400
216,06061,placer,california,CA,348432,356445,360569,365822,369727,373469,379742,386166
217,06063,plumas,california,CA,20007,19716,19377,18899,18667,18525,18787,18742
218,06065,riverside,california,CA,2189641,2235890,2264804,2291406,2321738,2352080,2386522,2423266
219,06067,sacramento,california,CA,1418788,1434506,1446585,1459474,1477522,1496130,1513260,1530615
220,06069,san benito,california,CA,55269,56034,56701,57370,57974,58364,59335,60310
221,06071,san bernardino,california,CA,2035210,2062381,2076601,2086732,2104038,2120794,2137131,2157404
